Adj Ticket Date,Analyst,Bkg Src Cd,Cart Nbr,Coach Competitive Group,Codeshare,Connect Pt,Customer Type,Max Adj Ticket Date,Inventory,LY revenue,LY pax,TY pax,Inventorymdf,[Revenue]/[Pax],Departure Date,Deptseason,Elite Status,Fare Type,FBC,HUB,TY revenue,Lylty Level Cd,Lytydept,Lyty,Market,Market Metro,Metro Od,Mileage Band,Mkt Type,Ns Flow,Number of Records,Op Airline,Op Cabin Type,PAX,Pax Type,Premium Mkt Type,Pricing Od,Prime Chanl Type Cd,Region,Revenue,Rpms,Spoke,Spoke test,Tariff,Terty Chanl Type Cd,Test Name,Ticket Date,Tkt Ap,Ym Hub Nm
1/31/2019,PALACIOS,SABRE,529019,LEG,N,CLT,Cart,False,M,286.81,1,,M,286.81,2/6/2018,HighSeason,Concierge,E-500,M0AGZNN1/M0AGZNN1/,DFW,,C,FEBRUARY,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,286.81,1465,NYC,NULL,0,TMC,,2/1/2018,00 AP,DFW
5/28/2019,PALACIOS,SABRE,757888,LEG,N,CLT,Cart,False,L,364.65,1,,L,364.65,6/4/2018,HighSeason,Exec Plat,E-500,L0AHZNN1/L0AHZNN1/,DFW,,E,JUNE,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,BUSINESS,D48,364.65,1465,NYC,NULL,0,Community Server,,5/29/2018,00 AP,DFW
1/28/2019,PALACIOS,SABRE,757888,LEG,N,CLT,Cart,False,V,206.94,1,,V,206.94,2/8/2018,HighSeason,Exec Plat,E-500,V0AGZNN1/V0AGZNN1/,DFW,,E,FEBRUARY,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,BUSINESS,D48,206.94,1465,NYC,NULL,0,Community Server,,1/29/2018,07 AP,DFW
2/27/2019,PALACIOS,APOLLO,528133,LEG,N,ORD,Cart,False,L,368,1,,L,368,3/11/2018,HighSeason,Exec Plat,E-500,L7AIZNN1/V3AIZNN1/,DFW,,E,MARCH,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,BUSINESS,D48,368,1521,NYC,NULL,0,Regional Corporate,,2/28/2018,07 AP,DFW
4/4/2019,PALACIOS,SABRE,522306,LEG,N,CLT,Cart,False,L,282.05,1,,L,282.05,4/11/2018,HighSeason,Exec Plat,E-500,L0AHZNN1/L0AHZNN1/,DFW,,E,APRIL,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,282.05,1465,NYC,NULL,0,TMC,,4/5/2018,00 AP,DFW
3/13/2019,PALACIOS,SABRE,501288,LEG,N,CLT,Cart,False,L,255.35,1,,L,255.35,3/19/2018,HighSeason,Exec Plat,E-500,L0AGZNN1/L0AGZNN1/,DFW,,E,MARCH,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,255.35,1465,NYC,NULL,0,TMC,,3/14/2018,00 AP,DFW
5/19/2019,PALACIOS,APOLLO,502866,LEG,N,ORD,Cart,False,L,230.98,1,,L,230.98,5/23/2018,HighSeason,Exec Plat,E-500,L0AHZNN1/L0AHZNN1/,DFW,,E,MAY,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,230.98,1521,NYC,NULL,0,TMC,,5/20/2018,00 AP,DFW
3/13/2019,PALACIOS,SABRE,501288,LEG,N,CLT,Cart,False,L,278.57,1,,L,278.57,3/23/2018,HighSeason,Exec Plat,E-500,L0AHZNN1/L0AHZNN1/,DFW,,E,MARCH,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,278.57,1465,NYC,NULL,0,TMC,,3/14/2018,07 AP,DFW
3/12/2019,PALACIOS,APOLLO,523803,LEG,N,ORD,Cart,False,K,328.55,1,,K,328.55,3/22/2018,HighSeason,Exec Plat,E-500,K0AHZRN1/K0AHZRN1/,DFW,,E,MARCH,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,328.55,1521,NYC,NULL,0,TMC,,3/13/2018,07 AP,DFW
5/13/2019,PALACIOS,SABRE,821803,LEG,N,CLT,Cart,False,V,273.49,1,,V,273.49,5/22/2018,HighSeason,Exec Plat,E-500,V7AGZNN1/V7AGZNN1/,DFW,,E,MAY,LY,DFWEWR,,DFWEWR,1000-1500,LEG,NS,1,All AA/US,Coach Only,1,FLOW,,DFWEWR,TMC,D48,273.49,1465,NYC,NULL,0,TMC,,5/14/2018,07 AP,DFW
